Marca,Nombre,Género,Familia,Precio USD,Volumen ML,Notas Salida,Notas Corazón,Notas Fondo
Lattafa,LATTAFA ASDAAF AMEER AL ARAB IMPERIUM 100ML,Masculino,Oriental,22,100,"Oud; Rosa; Vainilla","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Emper,EMPER UOMO INTENSE 100ML,Masculino,Aromático,30,100,"Salvia; Cardamomo; Cedro","Geranio; Cardamomo; Clavo","Vetiver; Cedro; Tonka"
Lattafa,LATTAFA MAYAR 100ML,Femenino,Floral,26,100,"Rosa; Violeta; Peonía","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Lattafa,LATTAFA YARA TOUS 100ML,Femenino,Floral,25,100,"Cedro; Almizcle; Pera","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Fragrance World,FRAGRANCE WORLD JUST AZRAQ 100ML,Femenino,Floral,21,100,"Lirio; Rosa; Almizcle","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Lattafa,LATTAFA THE KINGDOM FEMENINO 100ML,Femenino,Floral,29,100,"Almizcle; Rosa; Bergamota","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Grandeur,GRANDEUR TUBBEES STRAWBERRY CHEESECAKE 50ML,Kids,Gourmand,12,50,"Vainilla; Ámbar; Tonka","Praliné; Café; Cacao","Vainilla; Tonka; Almizcle dulce"
French Avenue,FRENCH AVENUE MERINGUE 100ML,Femenino,Gourmand,32,100,"Vainilla; Cacao; Ámbar","Praliné; Café; Cacao","Vainilla; Tonka; Almizcle dulce"
Al Haramain,AL HARAMAIN L'AVENTURE FEMME 100ML,Femenino,Floral,41,100,"Peonía; Limón; Almizcle","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Paris Corner,PARIS CORNER VOUX ELEGANTE 100ML,Masculino,Amaderado,38,100,"Sándalo; Pimienta negra; Musgo de roble","Cedro; Vetiver; Pachulí","Sándalo; Oud; Musgo de roble"
Armaf,ARMAF ODYSSEY GO MANGO 100ML,Masculino,Cítrico,41,100,"Vetiver; Cedro; Naranja","Neroli; Petit grain; Té verde","Almizcle blanco; Cedro; Vetiver"
Armaf,ARMAF CLUB DE NUIT MALEKA 105ML,Femenino,Floral,44,105,"Rosa; Peonía; Lirio","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Armaf,ARMAF ODYSSEY REVOLUTION 100ML,Masculino,Amaderado,26,100,"Vetiver; Ámbar; Cardamomo","Cedro; Vetiver; Pachulí","Sándalo; Oud; Musgo de roble"
Maison Alhambra,MAISON ALHAMBRA BAROQUE ROUGE EXTREME 100ML,Femenino,Floral,21,100,"Vainilla; Jazmín; Rosa","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Armaf,ARMAF ODYSSEY ARTISTO 100ML,Masculino,Amaderado,45,100,"Musgo de roble; Cedro; Oud","Cedro; Vetiver; Pachulí","Sándalo; Oud; Musgo de roble"
Lattafa,LATTAFA NEBRAS ELIXIR 100ML,Femenino,Floral,36,100,"Vainilla; Jazmín; Violeta","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Lattafa,LATTAFA AJWAD 60ML,Femenino,Floral,20,60,"Limón; Ámbar; Violeta","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
French Avenue,FRENCH AVENUE GENESIS CAPRICORN 90ML,Masculino,Aromático,44,90,"Vetiver; Almizcle; Cedro","Geranio; Cardamomo; Clavo","Vetiver; Cedro; Tonka"
Lattafa,LATTAFA EMAAN 100ML,Femenino,Floral,26,100,"Almizcle; Ámbar; Vainilla","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Al Wataniah,AL WATANIAH AL LAYL 100ML,Masculino,Oriental,20,100,"Vainilla; Canela; Ámbar","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Lattafa,LATTAFA ECLAIRE 100ML,Femenino,Floral,36,100,"Peonía; Lirio; Bergamota","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Bharara,BHARARA KING SOLEIL 100ML,Masculino,Amaderado,78,100,"Cedro; Bergamota; Ámbar","Cedro; Vetiver; Pachulí","Sándalo; Oud; Musgo de roble"
